"rank","country","happiness2021","happiness2020","scoreDifference"
"1","Finland","7.8420","7.8090","0.0330"
"2","Denmark","7.6200","7.6460","-0.0260"
"3","Switzerland","7.5710","7.5600","0.0110"
"4","Iceland","7.5540","7.5040","0.0500"
"5","Netherlands","7.4640","7.4490","0.0150"
"6","Norway","7.3920","7.4880","-0.0960"
"7","Sweden","7.3630","7.3530","0.0100"
"8","Luxembourg","7.3240","7.2380","0.0860"
"9","New Zealand","7.2770","7.3000","-0.0230"
"10","Austria","7.2680","7.2940","-0.0260"
"11","Australia","7.1830","7.2230","-0.0400"
"12","Israel","7.1570","7.1290","0.0280"
"13","Germany","7.1550","7.0760","0.0790"
"14","Canada","7.1030","7.2320","-0.1290"
"15","Ireland","7.0850","7.1290","-0.0440"
"16","Costa Rica","7.0690","7.1210","-0.0520"
"17","United Kingdom","7.0640","7.1650","-0.1010"
"18","Czech Republic","6.9650","6.9110","0.0540"
"19","United States","6.9510","6.9400","0.0110"
"20","Belgium","6.8340","6.8640","-0.0300"
"21","France","6.6900","6.6640","0.0260"
"22","Bahrain","6.6470","6.2270","0.4200"
"23","Malta","6.6020","6.7730","-0.1710"
"24","Taiwan","6.5840","6.4550","0.1290"
"25","United Arab Emirates","6.5610","6.7910","-0.2300"
"26","Saudi Arabia","6.4940","6.4060","0.0880"
"27","Spain","6.4910","6.4010","0.0900"
"28","Italy","6.4830","6.3870","0.0960"
"29","Slovenia","6.4610","6.3630","0.0980"
"30","Guatemala","6.4350","6.3990","0.0360"
"31","Uruguay","6.4310","6.4400","-0.0090"
"32","Singapore","6.3770","6.3770","0"
"33","Slovakia","6.3310","6.2810","0.0500"
"34","Brazil","6.3300","6.3760","-0.0460"
"35","Mexico","6.3170","6.4650","-0.1480"
"36","Jamaica","6.3090","5.8900","0.4190"
"37","Lithuania","6.2550","6.2150","0.0400"
"38","Cyprus","6.2230","6.1590","0.0640"
"39","Estonia","6.1890","6.0220","0.1670"
"40","Panama","6.1800","6.3050","-0.1250"
"41","Uzbekistan","6.1790","6.2580","-0.0790"
"42","Chile","6.1720","6.2280","-0.0560"
"43","Poland","6.1660","6.1860","-0.0200"
"44","Kazakhstan","6.1520","6.0580","0.0940"
"45","Romania","6.1400","6.1240","0.0160"
"46","Kuwait","6.1060","6.1020","0.0040"
"47","Serbia","6.0780","5.7780","0.3000"
"48","El Salvador","6.0610","6.3480","-0.2870"
"49","Mauritius","6.0490","6.1010","-0.0520"
"50","Latvia","6.0320","5.9500","0.0820"
"51","Colombia","6.0120","6.1630","-0.1510"
"52","Hungary","5.9920","6","-0.0080"
"53","Thailand","5.9850","5.9990","-0.0140"
"54","Nicaragua","5.9720","6.1370","-0.1650"
"55","Japan","5.9400","5.8710","0.0690"
"56","Argentina","5.9290","5.9750","-0.0460"
"57","Portugal","5.9290","5.9110","0.0180"
"58","Honduras","5.9190","5.9530","-0.0340"
"59","Croatia","5.8820","5.5050","0.3770"
"60","Philippines","5.8800","6.0060","-0.1260"
"61","South Korea","5.8450","5.8720","-0.0270"
"62","Peru","5.8400","5.7970","0.0430"
"63","Bosnia and Herzegovina","5.8130","5.6740","0.1390"
"64","Moldova","5.7660","5.6080","0.1580"
"65","Ecuador","5.7640","5.9250","-0.1610"
"66","Kyrgyzstan","5.7440","5.5420","0.2020"
"67","Greece","5.7230","5.5150","0.2080"
"68","Bolivia","5.7160","5.7470","-0.0310"
"69","Mongolia","5.6770","5.4560","0.2210"
"70","Paraguay","5.6530","5.6920","-0.0390"
"71","Montenegro","5.5810","5.5460","0.0350"
"72","Dominican Republic","5.5450","5.6890","-0.1440"
"73","Belarus","5.5340","5.5400","-0.0060"
"74","Russia","5.4770","5.5460","-0.0690"
"75","Hong Kong","5.4770","5.5100","-0.0330"
"76","Tajikistan","5.4660","5.5560","-0.0900"
"77","Vietnam","5.4110","5.3530","0.0580"
"78","Libya","5.4100","5.4890","-0.0790"
"79","Malaysia","5.3840","5.3840","0"
"80","Indonesia","5.3450","5.2860","0.0590"
"81","Republic of the Congo","5.3420","5.1940","0.1480"
"82","China","5.3390","5.1240","0.2150"
"83","Ivory Coast","5.3060","5.2330","0.0730"
"84","Armenia","5.2830","4.6770","0.6060"
"85","Nepal","5.2690","5.1370","0.1320"
"86","Bulgaria","5.2660","5.1020","0.1640"
"87","Maldives","5.1980","5.1980","0"
"88","Azerbaijan","5.1710","5.1650","0.0060"
"89","Cameroon","5.1420","5.0850","0.0570"
"90","Senegal","5.1320","4.9810","0.1510"
"91","Albania","5.1170","4.8830","0.2340"
"92","North Macedonia","5.1010","5.1600","-0.0590"
"93","Ghana","5.0880","5.1480","-0.0600"
"94","Niger","5.0740","4.9100","0.1640"
"95","Turkmenistan","5.0660","5.1190","-0.0530"
"96","Gambia","5.0510","4.7510","0.3000"
"97","Benin","5.0450","5.2160","-0.1710"
"98","Laos","5.0300","4.8890","0.1410"
"99","Bangladesh","5.0250","4.8330","0.1920"
"100","Guinea","4.9840","4.9490","0.0350"
"101","South Africa","4.9560","4.8140","0.1420"
"102","Turkey","4.9480","5.1320","-0.1840"
"103","Pakistan","4.9340","5.6930","-0.7590"
"104","Morocco","4.9180","5.0950","-0.1770"
"105","Venezuela","4.8920","5.0530","-0.1610"
"106","Georgia","4.8910","4.6730","0.2180"
"107","Algeria","4.8870","5.0050","-0.1180"
"108","Ukraine","4.8750","4.5610","0.3140"
"109","Iraq","4.8540","4.7850","0.0690"
"110","Gabon","4.8520","4.8290","0.0230"
"111","Burkina Faso","4.8340","4.7690","0.0650"
"112","Cambodia","4.8300","4.8480","-0.0180"
"113","Mozambique","4.7940","4.6240","0.1700"
"114","Nigeria","4.7590","4.7240","0.0350"
"115","Mali","4.7230","4.7290","-0.0060"
"116","Iran","4.7210","4.6720","0.0490"
"117","Uganda","4.6360","4.4320","0.2040"
"118","Liberia","4.6250","4.5580","0.0670"
"119","Kenya","4.6070","4.5830","0.0240"
"120","Tunisia","4.5960","4.3920","0.2040"
"121","Lebanon","4.5840","4.7720","-0.1880"
"122","Namibia","4.5740","4.5710","0.0030"
"123","Myanmar","4.4260","4.3080","0.1180"
"124","Jordan","4.3950","4.6330","-0.2380"
"125","Chad","4.3550","4.4230","-0.0680"
"126","Sri Lanka","4.3250","4.3270","-0.0020"
"127","Eswatini","4.3080","4.3080","0"
"128","Comoros","4.2890","4.2890","0"
"129","Egypt","4.2830","4.1510","0.1320"
"130","Ethiopia","4.2750","4.1860","0.0890"
"131","Mauritania","4.2270","4.3750","-0.1480"
"132","Madagascar","4.2080","4.1660","0.0420"
"133","Togo","4.1070","4.1870","-0.0800"
"134","Zambia","4.0730","3.7590","0.3140"
"135","Sierra Leone","3.8490","3.9260","-0.0770"
"136","India","3.8190","3.5730","0.2460"
"137","Burundi","3.7750","3.7750","0"
"138","Yemen","3.6580","3.5270","0.1310"
"139","Tanzania","3.6230","3.4760","0.1470"
"140","Haiti","3.6150","3.7210","-0.1060"
"141","Malawi","3.6000","3.5380","0.0620"
"142","Lesotho","3.5120","3.6530","-0.1410"
"143","Botswana","3.4670","3.4790","-0.0120"
"144","Rwanda","3.4150","3.3120","0.1030"
"145","Zimbabwe","3.1450","3.2990","-0.1540"
"146","Afghanistan","2.5230","2.5670","-0.0440"